RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-10-31,2022-12-31,2023-09-30
394464,215,"Chico, CA",msa,CA,2022-09-30,-0.5,-1.6,-1.4
394763,216,"Lake Charles, LA",msa,LA,2022-09-30,0.4,0.0,-3.6
394485,217,"Columbia, MO",msa,MO,2022-09-30,0.3,0.6,0.4
394691,218,"Houma, LA",msa,LA,2022-09-30,0.0,0.2,-2.9
394623,219,"Gainesville, GA",msa,GA,2022-09-30,0.5,1.1,4.1
394565,220,"Elkhart, IN",msa,IN,2022-09-30,0.2,0.8,2.5
395114,221,"Springfield, IL",msa,IL,2022-09-30,0.6,0.5,-1.8
394726,222,"Johnson City, TN",msa,TN,2022-09-30,0.5,1.1,1.7
394597,223,"Florence, SC",msa,SC,2022-09-30,0.7,1.1,0.7
394716,224,"Jacksonville, NC",msa,NC,2022-09-30,0.8,1.6,3.5
394680,225,"Hilo, HI",msa,HI,2022-09-30,-0.2,0.0,1.7
395118,226,"St. Cloud, MN",msa,MN,2022-09-30,-0.1,0.2,0.5
394380,227,"Bend, OR",msa,OR,2022-09-30,-0.5,0.2,3.3
394872,228,"Monroe, LA",msa,LA,2022-09-30,0.2,0.1,-2.4
395011,229,"Racine, WI",msa,WI,2022-09-30,-0.3,0.0,0.9
395009,230,"Punta Gorda, FL",msa,FL,2022-09-30,-0.2,-0.1,3.9
395047,231,"Saginaw, MI",msa,MI,2022-09-30,0.9,1.9,3.9
395202,232,"Warner Robins, GA",msa,GA,2022-09-30,0.7,1.1,2.1
395151,233,"Terre Haute, IN",msa,IN,2022-09-30,0.6,0.9,0.8
395119,234,"St. George, UT",msa,UT,2022-09-30,-1.3,-2.2,1.4
394386,235,"Billings, MT",msa,MT,2022-09-30,0.3,0.6,1.0
394860,236,"Midland, TX",msa,TX,2022-09-30,0.1,-0.4,-2.4
394539,237,"Dover, DE",msa,DE,2022-09-30,0.6,1.1,1.8
394651,238,"Greenville, NC",msa,NC,2022-09-30,0.3,0.3,2.3
394406,239,"Bowling Green, KY",msa,KY,2022-09-30,0.9,1.6,0.9
394559,240,"El Centro, CA",msa,CA,2022-09-30,0.2,0.0,2.7
394729,241,"Joplin, MO",msa,MO,2022-09-30,0.8,1.7,3.3
395162,242,"Torrington, CT",msa,CT,2022-09-30,0.7,1.7,2.2
394712,243,"Jackson, TN",msa,TN,2022-09-30,0.2,1.0,3.4
395018,244,"Redding, CA",msa,CA,2022-09-30,-1.2,-2.3,-2.3
394748,245,"Kingston, NY",msa,NY,2022-09-30,0.5,1.7,4.9
395246,246,"Yuba City, CA",msa,CA,2022-09-30,-1.2,-2.6,-1.4
394707,247,"Iowa City, IA",msa,IA,2022-09-30,-1.1,-2.0,-4.2
394896,248,"Muskegon, MI",msa,MI,2022-09-30,-0.3,-0.3,2.7
394299,249,"Abilene, TX",msa,TX,2022-09-30,0.6,1.4,1.5
394944,250,"Oshkosh, WI",msa,WI,2022-09-30,0.4,0.9,1.6
394428,251,"Burlington, NC",msa,NC,2022-09-30,0.7,1.6,5.1
394960,252,"Panama City, FL",msa,FL,2022-09-30,0.6,0.9,3.1
753869,253,"Bloomington, IL",msa,IL,2022-09-30,0.3,0.9,0.0
394480,254,"Coeur d'Alene, ID",msa,ID,2022-09-30,0.1,1.6,6.9
394553,255,"East Stroudsburg, PA",msa,PA,2022-09-30,0.5,1.3,6.1
394555,256,"Eau Claire, WI",msa,WI,2022-09-30,0.6,1.7,3.0
395007,257,"Pueblo, CO",msa,CO,2022-09-30,0.3,1.0,5.3
394671,258,"Hattiesburg, MS",msa,MS,2022-09-30,0.3,0.0,-1.4
394393,259,"Bloomington, IN",msa,IN,2022-09-30,0.6,1.0,2.3
395210,260,"Waterloo, IA",msa,IA,2022-09-30,0.6,0.9,-1.0
394731,261,"Kahului, HI",msa,HI,2022-09-30,0.7,0.8,2.8
