Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",May 2020,Days on Market MoM,8
"Philadelphia, PA metro area",April 2020,Days on Market MoM,3
"Philadelphia, PA metro area",March 2020,Days on Market MoM,-4
"Philadelphia, PA metro area",February 2020,Days on Market MoM,0
"Philadelphia, PA metro area",September 2022,Days on Market,40.429694776
"Philadelphia, PA metro area",August 2022,Days on Market,36.136971990
"Philadelphia, PA metro area",July 2022,Days on Market,36.041493482
"Philadelphia, PA metro area",June 2022,Days on Market,33.642386737
"Philadelphia, PA metro area",May 2022,Days on Market,32.653933972
"Philadelphia, PA metro area",April 2022,Days on Market,32.691355371
"Philadelphia, PA metro area",March 2022,Days on Market,32.420687231
"Philadelphia, PA metro area",February 2022,Days on Market,36.189553238
"Philadelphia, PA metro area",January 2022,Days on Market,36.497055383
"Philadelphia, PA metro area",December 2021,Days on Market,37.139323669
"Philadelphia, PA metro area",November 2021,Days on Market,36.428089239
"Philadelphia, PA metro area",October 2021,Days on Market,36.731097169
"Philadelphia, PA metro area",September 2021,Days on Market,34.280170489
"Philadelphia, PA metro area",August 2021,Days on Market,32.635788804
"Philadelphia, PA metro area",July 2021,Days on Market,31.076599306
"Philadelphia, PA metro area",June 2021,Days on Market,30.445469384
"Philadelphia, PA metro area",May 2021,Days on Market,33.009352044
"Philadelphia, PA metro area",April 2021,Days on Market,35.228972441
"Philadelphia, PA metro area",March 2021,Days on Market,35.384398403
"Philadelphia, PA metro area",February 2021,Days on Market,31.784215841
"Philadelphia, PA metro area",January 2021,Days on Market,32.174634680
"Philadelphia, PA metro area",December 2020,Days on Market,33.321063035
"Philadelphia, PA metro area",November 2020,Days on Market,33.401135962
"Philadelphia, PA metro area",October 2020,Days on Market,35.141230089
"Philadelphia, PA metro area",September 2020,Days on Market,35.459641030
"Philadelphia, PA metro area",August 2020,Days on Market,40.503315483
"Philadelphia, PA metro area",July 2020,Days on Market,46.960167922
"Philadelphia, PA metro area",June 2020,Days on Market,54.008922411
"Philadelphia, PA metro area",May 2020,Days on Market,49.891595863
"Philadelphia, PA metro area",April 2020,Days on Market,42.180439835
"Philadelphia, PA metro area",March 2020,Days on Market,39.037178091
"Philadelphia, PA metro area",February 2020,Days on Market,43.425048376
"Philadelphia, PA metro area",September 2022, Inventory YoY ,-0.066240570
"Philadelphia, PA metro area",August 2022, Inventory YoY ,0.002546388
"Philadelphia, PA metro area",July 2022, Inventory YoY ,0.029582802
"Philadelphia, PA metro area",June 2022, Inventory YoY ,0.093720052
"Philadelphia, PA metro area",May 2022, Inventory YoY ,0.043741090
"Philadelphia, PA metro area",April 2022, Inventory YoY ,0.027543198
"Philadelphia, PA metro area",March 2022, Inventory YoY ,0.006126333
"Philadelphia, PA metro area",February 2022, Inventory YoY ,-0.006951028
"Philadelphia, PA metro area",January 2022, Inventory YoY ,-0.051377165
"Philadelphia, PA metro area",December 2021, Inventory YoY ,-0.023970250
"Philadelphia, PA metro area",November 2021, Inventory YoY ,-0.026175566
"Philadelphia, PA metro area",October 2021, Inventory YoY ,-0.002400447
"Philadelphia, PA metro area",September 2021, Inventory YoY ,0.021195187
